id,px,py,pz,length
573,5.621,20.146,-8.054,0.984
574,6.421,20.146,-8.045,1.027
575,7.221,20.146,-8.039,1.061
576,8.021,20.146,-8.033,1.086
577,8.821,20.146,-8.018,1.113
578,9.621,20.146,-7.992,1.117
579,11.221,20.146,-7.953,0.926
580,12.021,20.146,-7.935,0.747
581,12.821,20.146,-7.932,0.658
582,13.621,20.146,-7.957,0.713
583,14.421,20.146,-7.999,0.882
584,15.221,20.146,-8.041,1.091
585,16.021,20.146,-8.076,1.275
586,16.821,20.146,-8.068,1.283
587,17.621,20.146,-8.037,1.181
588,18.421,20.146,-8.026,1.190
589,19.221,20.146,-8.042,1.258
590,20.021,20.146,-8.086,1.358
591,20.821,20.146,-8.106,1.416
592,21.621,20.146,-8.115,1.425
593,22.421,20.146,-8.119,1.374
594,23.221,20.146,-8.090,1.213
595,24.021,20.146,-8.054,0.998
596,24.821,20.146,-8.032,0.740
597,25.621,20.146,-8.000,0.501
598,29.621,20.146,-7.935,1.269
599,30.421,20.146,-7.977,1.445
600,31.221,20.146,-7.976,1.443
601,32.021,20.146,-8.023,1.396
602,32.821,20.146,-8.105,1.266
603,33.621,20.146,-8.166,1.122
604,34.421,20.146,-8.187,0.952
605,35.221,20.146,-8.179,0.808
606,36.021,20.146,-8.161,0.809
607,36.821,20.146,-8.137,0.841
608,37.621,20.146,-8.069,0.823
609,38.421,20.146,-7.949,0.707
610,39.221,20.146,-8.011,0.531
611,43.221,20.146,-8.218,0.300
612,44.021,20.146,-8.206,0.621
613,48.021,20.146,-8.248,0.793
614,48.821,20.146,-8.259,1.228
615,49.621,20.146,-8.272,1.570
616,50.421,20.146,-8.284,1.685
617,51.221,20.146,-8.292,1.645
618,52.021,20.146,-8.301,1.616
619,52.821,20.146,-8.305,1.601
620,53.621,20.146,-8.297,1.525
621,54.421,20.146,-8.272,1.232
622,55.221,20.146,-8.259,0.938
623,56.021,20.146,-8.233,0.767
624,56.821,20.146,-8.204,0.708
625,57.621,20.146,-8.187,0.643
626,59.221,20.146,-8.215,0.667
627,60.021,20.146,-8.212,0.773
628,60.821,20.146,-8.204,0.922
629,61.621,20.146,-8.222,1.049
630,62.421,20.146,-8.230,1.159
631,63.221,20.146,-8.221,1.145
632,64.021,20.146,-8.214,0.955
633,64.821,20.146,-8.207,0.724
634,68.021,20.146,-8.203,0.803
635,68.821,20.146,-8.211,1.100
636,69.621,20.146,-8.219,1.268
637,70.421,20.146,-8.222,1.342
638,71.221,20.146,-8.209,1.344
639,72.021,20.146,-8.162,1.211
640,72.821,20.146,-8.072,0.905
641,73.621,20.146,-7.978,0.471
642,74.421,20.146,-7.948,0.300
643,-1.979,20.946,-7.830,0.300
644,-1.179,20.946,-7.850,0.300
645,-0.379,20.946,-7.850,0.300
646,0.421,20.946,-7.880,0.408
647,1.221,20.946,-7.950,0.669
648,2.021,20.946,-8.043,0.790
649,2.821,20.946,-8.137,0.852
650,3.621,20.946,-8.197,0.928
651,4.421,20.946,-8.223,0.987
652,5.221,20.946,-8.227,1.047
653,6.021,20.946,-8.218,1.102
654,6.821,20.946,-8.204,1.131
655,8.421,20.946,-8.166,1.139
656,9.221,20.946,-8.124,1.103
657,10.021,20.946,-8.097,1.057
658,10.821,20.946,-8.098,0.968
659,11.621,20.946,-8.109,0.842
660,12.421,20.946,-8.122,0.766
661,13.221,20.946,-8.138,0.808
662,14.021,20.946,-8.153,0.931
663,14.821,20.946,-8.156,1.070
664,15.621,20.946,-8.154,1.176
665,16.421,20.946,-8.136,1.143
666,17.221,20.946,-8.111,0.937
667,18.021,20.946,-8.084,0.900
668,18.821,20.946,-8.103,1.025
669,19.621,20.946,-8.149,1.143
670,20.421,20.946,-8.176,1.237
671,21.221,20.946,-8.175,1.262
672,22.021,20.946,-8.163,1.231
673,22.821,20.946,-8.148,1.141
674,23.621,20.946,-8.120,1.001
675,24.421,20.946,-8.094,0.831
676,25.221,20.946,-8.068,0.633
677,26.021,20.946,-7.999,0.457
678,30.021,20.946,-8.048,1.116
679,30.821,20.946,-8.079,1.210
680,31.621,20.946,-8.102,1.230
681,32.421,20.946,-8.149,1.174
682,33.221,20.946,-8.201,1.034
683,34.021,20.946,-8.228,0.885
684,34.821,20.946,-8.220,0.787
685,36.421,20.946,-8.170,0.834
686,37.221,20.946,-8.081,0.788
687,38.021,20.946,-7.825,0.575
688,39.621,20.946,-8.001,0.300
689,42.821,20.946,-8.212,0.300
690,43.621,20.946,-8.206,0.874
691,44.421,20.946,-8.200,0.879
692,48.421,20.946,-8.251,0.929
693,49.221,20.946,-8.264,1.341
694,50.021,20.946,-8.276,1.597
695,50.821,20.946,-8.283,1.648
696,51.621,20.946,-8.286,1.619
697,52.421,20.946,-8.294,1.608
698,53.221,20.946,-8.289,1.537
699,54.021,20.946,-8.249,1.296
700,54.821,20.946,-8.251,0.995
701,55.621,20.946,-8.255,0.797
702,56.421,20.946,-8.245,0.714
703,57.221,20.946,-8.231,0.682
704,58.021,20.946,-8.216,0.636
705,58.821,20.946,-8.212,0.636
706,59.621,20.946,-8.216,0.691
707,60.421,20.946,-8.216,0.824
708,61.221,20.946,-8.217,0.939
709,62.021,20.946,-8.218,1.052
710,62.821,20.946,-8.214,1.109
711,63.621,20.946,-8.209,0.940
712,64.421,20.946,-8.206,0.684
713,67.621,20.946,-8.206,0.623
714,68.421,20.946,-8.214,1.091
715,69.221,20.946,-8.221,1.401
716,70.021,20.946,-8.223,1.582
717,70.821,20.946,-8.211,1.671
718,71.621,20.946,-8.160,1.615
719,72.421,20.946,-8.042,1.343
720,73.221,20.946,-7.881,0.878
721,74.021,20.946,-7.768,0.366
722,74.821,20.946,-7.787,0.300
723,-1.579,21.746,-7.952,0.300
724,-0.779,21.746,-7.989,0.300
725,0.021,21.746,-7.991,0.300
726,0.821,21.746,-8.038,0.331
727,2.421,21.746,-8.235,0.848
728,3.221,21.746,-8.317,0.955
729,4.021,21.746,-8.357,1.014
730,4.821,21.746,-8.367,1.043
731,5.621,21.746,-8.361,1.079
